od_id;atrop_tot;atrop_fer;atrop_fat;fatalid;prod_desl_pe;atra_desl_pe;faixas_detectadas;demanda_faixas;prop_atendida;ext_tot;prop_art;prop_col;prop_loc;prop_ped;prop_vtr;prop_rod;ca_medio;perc_comercial;perc_residencial;perc_outros_usos;dens_onibus;dens_mass;perc_nao_resid;prop_via_lenta;prop_via_interm;prop_via_rapida;desl_pe
1;71;63;8;11,2676056338028;240838;243927;68;354;0,192;15185,259;11,23;33,08;14,42;39,43;1,84;0;15,94;93,92;5,66;0,42;0,491517099351214;0,0526625463590586;94,34;53,85;33,08;13,07;484765
2;210;199;13;6,19047619047619;192413;199540;164;580;0,283;34065,695;42,62;23,44;28,89;1,3;3,74;0;13,22;79,45;14,62;5,93;0,864431351545979;0,0176414561539996;85,38;30,19;23,44;46,36;391953
3;86;77;11;12,7906976744186;86141;79974;72;368;0,196;13947,383;20,58;35,15;27,03;0,26;16,98;0;11,26;54,85;40,88;4,27;0,503780549031305;0,0209908562096377;59,12;27,29;35,15;37,56;166115
4;109;99;10;9,1743119266055;99667;94226;80;469;0,171;25937,428;25,79;31,72;25,74;1,64;15,11;0;11,74;38,64;57,62;3,74;0,814072435125146;0;42,38;27,38;31,72;40,9;193893
5;119;112;10;8,40336134453782;272546;276450;117;450;0,26;21987,521;27,07;36,1;16,67;12,96;7,2;0;12,19;68,31;30,32;1,38;0,575056916359711;0,0401202499785845;69,68;29,63;36,1;34,27;548996
6;161;146;16;9,93788819875776;161767;148730;151;520;0,29;22429,145;33,38;56,94;7,01;2,67;0;0;11,57;61,66;36,38;1,97;0,701063298914684;0,0120872982571497;63,62;9,68;56,94;33,38;310497
7;113;103;11;9,73451327433628;111953;118555;108;545;0,198;29896,615;29,46;39,96;28,46;2,13;0;0;5,22;59,23;40,68;0,09;0,278808284236056;0,0259356543475401;59,32;30,59;39,96;29,46;230508
8;57;56;1;1,75438596491228;45867;44041;68;379;0,179;25060,29;29,91;37,26;22,53;0;10,31;0;3,74;43,76;56,24;0,01;0,168226841337439;0;43,76;22,53;37,26;40,22;89908
9;82;70;12;14,6341463414634;53027;50145;79;426;0,185;26357,698;52,06;22,39;18;0;7,55;0;3,18;51,6;48,36;0,04;0,146758190930867;0,0077241153121509;51,64;18;22,39;59,61;103172
10;36;35;2;5,55555555555556;31481;34264;31;201;0,154;12744,546;26,73;24,71;31,89;0;16,67;0;0,9;84,98;15,02;0;0,121335759641287;0;84,98;31,89;24,71;43,4;65745
11;24;23;1;4,16666666666667;8961;9054;39;231;0,169;13525,733;30,97;19,36;34,26;0;15,41;0;3,05;35,41;64,59;0;0,140752791895085;0;35,41;34,26;19,36;46,38;18015
12;86;85;2;2,32558139534884;56860;56398;178;558;0,319;28669,4;14,85;44,26;40,89;0;0;0;2,67;73,16;26,63;0,21;0,221712669327109;0;73,37;40,89;44,26;14,85;113258
13;23;23;0;0;31069;33643;42;132;0,318;4460,098;8,84;48,63;42,53;0;0;0;2,81;87,07;12,93;0;0,20395333790284;0;87,07;42,53;48,63;8,84;64712
14;75;74;2;2,66666666666667;83815;88987;112;232;0,483;12268,266;12,78;59,67;27,55;0;0;0;2,94;90,15;9,85;0;0,344286837568094;0;90,15;27,55;59,67;12,78;172802
15;67;65;3;4,47761194029851;50777;46885;85;222;0,383;12051,286;13,42;49,91;36,67;0;0;0;2,61;53,06;46,94;0;0,156252832155195;0;53,06;36,67;49,91;13,42;97662
