od_id;nome_od;area_ha;distrito;subpref;RA_5;RA_8;ren_med_f;ren_median_f;ren_per_cap;p_pop_n_alfab;p_pop_fund_I_II;p_pop_medio;p_pop_superior;sin_tot;atrop_tot;p_atrop_sin;atrop_fer;atrop_fat;fatalid;atrop_desl;atrop_escuro;p_atrop_esc;p_atrop_auto;p_atrop_moto;p_atrop_onibus;p_atrop_caminh;p_atrop_bicicl;p_atrop_outros;p_atrop_tr_mo;p_atrop_pri;p_atrop_sec_ter;p_atrop_loc;p_atrop_ati;p_atrop_rur;p_atrop_rap;p_atrop_len;ext_viario_km_osm;ext_tr_mo;ext_pri;ext_sec_ter;ext_loc;ext_ati;ext_rur;p_ext_tr_mo;p_ext_pri;p_ext_sec_ter;p_ext_local;p_ext_ativo;p_ext_rural;ind_via_eq;CA_medio;p_comercial;p_out_usos;p_n_resid;desl_pe;p_fam_n_motor;p_fx_ped_at;med_calc;dens_ilumi;inters_crit;dem_sem_at_osm;ptos_alcool;w_CMA_15;w_CMP_15;b_CMA_30;b_CMP_30;pt_CMA_60;pt_CMP_60;c_CMA_60;c_CMP_60;c_CMAS_15
1;Sé;57,1;Sé;Sé;Centro;Centro;3264;2884;1152;22,37;28,03;29,81;19,79;82;67;35,01;59;8;4,38;12;19;10,4;16,98;7,12;8,21;0,55;0;3,83;1,49;26,87;20,9;13,43;37,31;0;28,36;50,74;16,79;0,96;1,56;2,95;2,17;9,15;0;5,72;9,29;17,57;12,92;54,5;0;3,63131758053507;15,94;93,92;0,42;94,34;484765;72,36;19,21;3,08;56,64;210;10,95;3;51902;8412;326070;322614;2827486;4751040;4916564;9482760;135
2;Parque Dom Pedro;113,64;Sé;Sé;Centro;Centro;3105;2884;1277;17,11;25,96;47,08;9,85;192;204;89,34;192;15;6,49;36;74;32,04;43,3;22,51;12,12;2,6;0,43;9,09;24,51;22,06;13,24;27,94;12,25;0;46,57;40,19;41,62;8,85;5,84;4,44;6,88;15,61;0;21,26;14,03;10,67;16,53;37,51;0;13,3983135969773;13,22;79,45;5,93;85,38;391953;61,35;28,28;3,05;15,59;894;7,16;3;24162;8529;249275;186741;2727042;4374176;4893213;9599468;104
3;Praça João Mendes;47,75;Sé;Sé;Centro;Centro;3919;3400;1624;23,25;25,28;39,54;11,93;145;89;41,18;80;11;5,64;17;41;21,03;25,65;7,69;5,13;1,03;0,51;6,67;17,98;6,74;51,69;22,47;1,12;0;24,72;23,59;14,3;3,02;1,43;3,93;3,83;2,09;0;21,12;10;27,48;26,78;14,62;0;5,07485307786384;11,26;54,85;4,27;59,12;166115;77,23;19,57;2,82;19,65;325;11,08;1;21047;15419;308796;280541;2588406;4151365;4918093;9604328;134
4;Ladeira da Memória;75,11;República;Sé;Centro;Centro;5209;3580;2722;17,92;14,85;32,99;34,24;334;121;47,94;109;12;5,76;23;62;29,77;29,29;13,44;4,8;0,96;0,48;9,12;34,71;9,09;32,23;19,83;0,83;0;43,8;20,66;24,1;4,55;1,83;7,79;5,18;4,75;0;18,88;7,59;32,32;21,49;19,71;0;8,01878548845461;11,74;38,64;3,74;42,38;193893;69,4;17,06;2,95;57,68;532;7,71;2;24079;22271;386397;284921;2556444;3593945;4936969;9360592;163
5;República;74,95;República;Sé;Centro;Centro;4248;3500;2287;12,76;20,8;25,3;41,14;174;135;60,25;126;13;6,1;24;56;26,29;29,1;12,67;15,96;0,47;1,41;4,22;0;37,78;50,37;8,89;2,96;0;37,78;11,85;25,12;1,69;1,16;9,79;3,2;9,28;0;6,73;4,62;38,97;12,74;36,94;0;6,44166353127033;12,19;68,31;1,38;69,68;548996;80,03;26;3,13;40,76;711;9,14;18;57766;22866;357869;352376;2719970;4199340;4904843;9173656;128
6;Santa Ifigênia;82,93;República;Sé;Centro;Centro;2679;2324;1146;14,88;27,08;39,51;18,52;174;148;66,06;134;14;6,45;27;54;24,88;28,57;15,67;17,97;2,3;0;3,69;0;43,92;33,11;21,62;1,35;0;43,92;22,97;26,61;1,59;3,18;7,92;6,81;7,1;0;5,98;11,95;29,76;25,59;26,68;0;8,03607707805466;11,57;61,66;1,97;63,62;310496;84,99;29,04;3,06;28,6;703;9,67;7;33957;20287;334978;285274;2836982;4526294;4910039;9384262;135
7;Luz;154,6;Bom Retiro;Sé;Centro;Centro;4227;3988;1472;24,32;15,11;38,75;21,82;196;112;48,86;102;11;5,37;21;47;22,94;23,91;16,59;5,86;0;0,98;7,32;8,93;0,89;75;13,39;1,79;0;9,82;15,18;37,91;2,8;0,03;12,33;10,79;11,97;0;7,39;0,08;32,52;28,46;31,57;0;7,80140176284551;5,22;59,23;0,09;59,32;230509;51,87;19,82;3,09;18,75;383;12,27;14;20528;12493;238411;148001;2572046;3951837;4871674;9420086;96
8;Bom Retiro;143,01;Bom Retiro;Sé;Centro;Centro;3361;2800;1128;16,99;34,49;35,4;13,12;171;53;23,73;52;1;0,58;11;25;14,5;18,56;6,96;0,58;2,32;0;3,48;33,96;24,53;9,43;30,19;1,89;0;58,49;32,08;27,63;6,75;2,89;3,34;11,15;3,5;0;24,43;10,46;12,09;40,35;12,67;0;9,15792031664154;3,74;43,76;0,01;43,76;89908;60,4;17,94;2,83;24,9;377;7,16;6;10778;6285;160909;141324;1823363;2437458;4850922;9148304;95
9;Ponte Pequena;129,78;Bom Retiro;Sé;Centro;Centro;3384;2500;1029;15,99;34,07;38,89;11,05;231;80;33,85;69;11;5,78;16;43;22,59;20,49;13,66;4,2;1,05;0;3,68;52,5;17,5;25;2,5;1,25;0;70;3,75;33,15;11,81;1,53;4,23;5,21;10,37;0;35,63;4,62;12,76;15,72;31,28;0;10,3387454923373;3,18;51,6;0,04;51,64;103172;68,76;18,54;3,29;18,76;220;12,73;4;11585;6454;113536;78519;2412904;3353702;4842369;9611409;105
10;Canindé;82,61;Pari;Mooca;Leste;Leste I;2198;2324;634;42,42;29,5;21,33;6,75;66;37;20,33;36;2;1,28;8;16;10,2;12,12;7,65;2,55;0;0;1,28;10,81;81,08;8,11;0;0;0;91,89;0;15,02;3,99;1,29;1,75;2,74;5,25;0;26,56;8,59;11,65;18,24;34,95;0;4,52948566374452;0,9;84,98;0;84,98;65745;70,36;15,42;3,23;15,38;153;5,23;0;6213;3904;107047;62600;1879808;2524271;4786850;9513439;92
11;Bom Jardim;49,85;Pari;Mooca;Leste;Leste I;3476;3000;1194;22,61;24;38,71;14,68;71;21;11,34;21;0;0;5;9;6,81;9,08;3,78;1,51;0,76;0;0,76;19,05;0;52,38;28,57;0;0;19,05;28,57;13,27;3,52;0;3,95;3,43;2,37;0;26,53;0;29,77;25,85;17,86;0;3,88350986911403;3,05;35,41;0;35,41;18016;42,63;16,88;2,93;19,74;49;18,37;8;5186;4918;110257;61786;1778896;2648329;4756797;9664706;96
12;Pari;140,16;Pari;Mooca;Leste;Leste I;3500;2589;1154;20,83;37,01;29,42;12,73;135;79;37,08;77;3;1,58;16;19;10,01;21,61;8,96;2,63;4,22;0,53;3,69;5,06;10,13;73,42;10,13;1,27;0;15,19;11,4;29,11;0,29;0,3;16,17;9,26;3,09;0;1;1,03;55,55;31,81;10,61;0;7,91502918681947;2,67;73,16;0,21;73,37;113259;61,49;31,9;3,26;27,76;524;6,49;33;17860;9747;142471;87072;2101666;2623779;4820630;9447278;89
